sample	cancer	batch	proteomics	gender	age
SNU407	COREAD	RMLT	TMT	NONE	0
SNU61	COREAD	RMLT	TMT	NONE	0
SNU81	COREAD	RMLT	TMT	NONE	0
SNUC1	COREAD	RMLT	TMT	NONE	0
SNUC2B	COREAD	RMLT	TMT	NONE	0
SNUC5	COREAD	RMLT	TMT	NONE	0
SW1116	COREAD	RMLT	TMT	NONE	0
SW1463	COREAD	RMLT	TMT	NONE	0
SW48	COREAD	RMLT	TMT	NONE	0
SW620	COREAD	RMLT	TMT	NONE	0
SW837	COREAD	RMLT	TMT	NONE	0
SW948	COREAD	RMLT	TMT	NONE	0
T84	COREAD	RMLT	TMT	NONE	0
AU565	BRCA	LPK	TMT	NONE	0
BT20	BRCA	LPK	TMT	NONE	0
BT549	BRCA	LPK	TMT	NONE	0
CAMA1	BRCA	LPK	TMT	NONE	0
DU4475	BRCA	LPK	TMT	NONE	0
HCC1187	BRCA	LPK	TMT	NONE	0
HCC1395	BRCA	LPK	TMT	NONE	0
HCC1419	BRCA	LPK	TMT	NONE	0
HCC1428	BRCA	LPK	TMT	NONE	0
HCC1569	BRCA	LPK	TMT	NONE	0
HCC1806	BRCA	LPK	TMT	NONE	0
HCC1937	BRCA	LPK	TMT	NONE	0
HCC1954	BRCA	LPK	TMT	NONE	0
HCC202	BRCA	LPK	TMT	NONE	0
HCC2157	BRCA	LPK	TMT	NONE	0
HCC2218	BRCA	LPK	TMT	NONE	0
HCC38	BRCA	LPK	TMT	NONE	0
HCC70	BRCA	LPK	TMT	NONE	0
HS578T	BRCA	LPK	TMT	NONE	0
MCF10A	BRCA	LPK	TMT	NONE	0
MCF10DCIS.com	BRCA	LPK	TMT	NONE	0
MCF10F	BRCA	LPK	TMT	NONE	0
MCF12A	BRCA	LPK	TMT	NONE	0
MCF7	BRCA	LPK	TMT	NONE	0
MDAMB134	BRCA	LPK	TMT	NONE	0
MDAMB157	BRCA	LPK	TMT	NONE	0
MDAMB175	BRCA	LPK	TMT	NONE	0
MDAMB231	BRCA	LPK	TMT	NONE	0
MDAMB361	BRCA	LPK	TMT	NONE	0
MDAMB415	BRCA	LPK	TMT	NONE	0
MDAMB436	BRCA	LPK	TMT	NONE	0
MDAMB453	BRCA	LPK	TMT	NONE	0
MDAMB468	BRCA	LPK	TMT	NONE	0
SKBR3	BRCA	LPK	TMT	NONE	0
SUM102PT	BRCA	LPK	TMT	NONE	0
SUM149PT	BRCA	LPK	TMT	NONE	0
SUM159PT	BRCA	LPK	TMT	NONE	0
SUM52PE	BRCA	LPK	TMT	NONE	0
UACC812	BRCA	LPK	TMT	NONE	0
ZR751	BRCA	LPK	TMT	NONE	0
ZR7530	BRCA	LPK	TMT	NONE	0
BT474	BRCA	LAW	LF	NONE	0
HCC1143	BRCA	LAW	LF	NONE	0
HCC1599	BRCA	LAW	LF	NONE	0
MFM223	BRCA	LAW	LF	NONE	0
SW527	BRCA	LAW	LF	NONE	0
